Event_Date,Event_Order,Event,Ticker,Reaction_10D_%,Volume_Change_%
2024-10-01,8,Iran Attack on Israel II,IDR.MC,2.530127154416162,27.052293012383878
2024-10-01,8,Iran Attack on Israel II,BDL.NS,1.9190383988717086,24.266677681245284
2024-10-01,8,Iran Attack on Israel II,BA.L,1.8934917513625749,-45.63098906374502
2024-10-01,8,Iran Attack on Israel II,QQ.L,1.379623504727956,-17.880101792000282
2024-10-01,8,Iran Attack on Israel II,HO.PA,1.2479018259232033,-0.30481516283547005
2024-10-01,8,Iran Attack on Israel II,BAH,1.0391606970868938,18.28609487160513
2024-10-01,8,Iran Attack on Israel II,FCT.MI,0.7232486353186962,-0.03490285026052087
2024-10-01,8,Iran Attack on Israel II,LDO.MI,0.674034914593169,16.81190984209873
2024-10-01,8,Iran Attack on Israel II,NOC,0.526568328804311,-17.039096437880108
2024-10-01,8,Iran Attack on Israel II,CHG.L,0.41438212427467036,-59.237437132337064
2024-10-01,8,Iran Attack on Israel II,HII,0.22929254998349524,-33.63373204434977
2024-10-01,8,Iran Attack on Israel II,HAL.NS,-0.36117003644317025,15.908411587326299
2024-10-01,8,Iran Attack on Israel II,047810.KS,-1.1235957545696507,12.667883641082867
2024-10-01,8,Iran Attack on Israel II,BAB.L,-1.1297002814225632,19.392185676909723
2024-10-01,8,Iran Attack on Israel II,GD,-2.550296107388561,-2.136769078295342
2024-10-01,8,Iran Attack on Israel II,BBAI,-2.580642779585396,15.028025409704803
2024-10-01,8,Iran Attack on Israel II,AM.PA,-3.0020684089744676,-25.884609663902182
2024-10-01,8,Iran Attack on Israel II,BEL.NS,-3.221378748620418,-62.314879753720845
2024-10-01,8,Iran Attack on Israel II,SAF.PA,-4.708637847217123,-11.261519056367264
2024-10-01,8,Iran Attack on Israel II,ASB.AX,-5.802050253264812,-57.4631943423324
2024-10-01,8,Iran Attack on Israel II,AIR.PA,-6.359327439527441,19.41879996803728
2024-10-26,9,Israel Strikes Iran,BAH,10.59729609009452,18.576815152578053
2024-10-26,9,Israel Strikes Iran,LDOS,7.934176729903841,149.49279623640103
2024-10-26,9,Israel Strikes Iran,ESLT,7.744844546775376,137.89846517119244
2024-10-26,9,Israel Strikes Iran,047810.KS,7.462690850184028,75.79000593721274
2024-10-26,9,Israel Strikes Iran,FCT.MI,5.252608025892225,-22.464553697761623
2024-10-26,9,Israel Strikes Iran,CACI,4.138992297799282,-23.751766368346683
2024-10-26,9,Israel Strikes Iran,HAG.DE,4.127829697489815,-33.68635984813408
2024-10-26,9,Israel Strikes Iran,KOG.OL,2.949057905092811,-5.609951566256665
2024-10-26,9,Israel Strikes Iran,AIR.PA,1.4617250316013797,8.402034261712865
2024-10-26,9,Israel Strikes Iran,LDO.MI,1.4552017613114643,45.97378288579961
2024-10-26,9,Israel Strikes Iran,SAAB-B.ST,1.1156572643059581,-35.66264688497154
2024-10-26,9,Israel Strikes Iran,600893.SS,0.5288492005594447,-47.188916767928546
2024-10-26,9,Israel Strikes Iran,BEL.NS,0.52237973180429,113.21301762135904
2024-10-26,9,Israel Strikes Iran,ASB.AX,0.317460005095338,23.150306414958234
2024-10-26,9,Israel Strikes Iran,LHX,-0.5225330495811642,50.18346500942117
2024-10-26,9,Israel Strikes Iran,600118.SS,-0.6671941505018597,-43.88437810399382
2024-10-26,9,Israel Strikes Iran,600372.SS,-1.103228282881763,-17.128929079237732
